Species,Extinction_Year
ochrophaeus,[2051]
quadramaculatus,
planirostris,
nana,
quadridigitata,[2003]
carolinensis,[2020]
femoralis,[2001]
perstriatus,[1997]
viridescens,[2028]
glutinosus,
jordani,
crucifer,[2033]
nigrita,[1995]
ocularis,[1998]
maculata,
capito,[2026]
catesbeianus,[2027]
clamitans,[2027]
pipiens,[2032]
septentrionalis,
sylvaticus,[2067]
sphenocephalus,[2029]
yavapaiensis,[2022]
holbrookii,[2021]
acuta,[2034]
americana,[2036]
clypeata,[2034]
crecca,[2035]
platyrhynchos,
discors,[2035]
fulvigula,
rubripes,[2043]
strepera,[2064]
affinis,
collaris,
valisineria,[2044]
albeola,
islandica,
autumnalis,
bicolor,[1971]
delicata,
immer,[2068]
leucocephalus,
philadelphia,
fedoa,[2035]
jamaicensis,[2023]
tricolor,[2049]
carolina,[2033]
hirundo,[2071]
manatus,[2036]
calypsa,[2027]
andinus,[2036]
chilensis,[2030]
jamesi,
taczanowskii,[2031]
gigas,[1996]
rolland,[2029]
acutus,[2064]
expansa,[2031]
ballerus,[2025]
bjoerkna,[2056]
brama,
alburnus,[2028]
anguilla,[2075]
aspius,[2004]
gibelio,[2021]
carassius,[2030]
taenia,[2022]
albula,[2092]
lavaretus,
carpio,[2004]
lucius,[2030]
aculeatus,[2023]
gobio,[2031]
cernua,
huso,[2066]
cephalus,
idus,[2004]
leuciscus,
lota,[2004]
fossilis,[2023]
barbatula,[2027]
fluviatilis,[2085]
rutilus,[2062]
trutta,
erythrophthalmus,
glanis,[2022]
lucioperca,[2087]
tinca,[2021]
bufo,[2023]
calamita,
dalmatina,[2032]
temporaria,
scirpaceus,
hypoleucos,
formosa,[2027]
penelope,[2061]
querquedula,
anser,[2028]
cinerea,
purpurea,[2035]
ralloides,
ferina,
fuligula,
nyroca,[2028]
stellaris,[2049]
clangula,[2036]
ciconia,[2036]
columbianus,
cygnus,[2043]
olor,[2035]
garzetta,[2035]
atra,[2027]
gallinago,[2030]
japonensis,
monacha,
vipio,[2035]
minimus,[2075]
angustirostris,[2021]
albellus,
merganser,[2052]
serrator,
rufina,[2048]
haliaetus,[2035]
lobatus,
leucorodia,[2022]
auritus,
porphyrio,
riparia,
totanus,[2109]
fiber,
moschata,[2116]
vexillifer,[2034]
fodiens,
phocaenoides,[2023]
hispida,[2033]
sinensis,
marinus,
silus,[2030]
laterna,[2028]
cuculus,[1976]
patronus,
tyrannus,[2038]
brosme,[2029]
luteum,[2028]
maculatus,[2027]
pallasii,[2050]
capensis,
encrasicolus,
morhua,[2024]
cynoglossus,[2023]
platessoides,[2037]
squamifrons,[2031]
boscii,[2036]
whiffiagonis,[2036]
budegassa,[2033]
piscatorius,[2034]
campechanus,
synagris,[2046]
villosus,[2028]
bilinearis,
aeglefinus,
merlangus,
merluccius,[2031]
hubbsi,[2037]
poutassou,[2028]
pagrus,
dentatus,[2028]
norvegicus,[2028]
flesus,
ferruginea,[2030]
platessa,
virens,[2025]
saltatrix,[2028]
hippoglossoides,
pilchardus,
brasiliensis,[2038]
sagax,[2037]
scombrus,[2032]
rhombus,
solea,[1971]
sprattus,[2026]
chrysops,[2036]
obesus,
thynnus,[2024]
trachurus,
lucerna,
esmarkii,
luscus,[2054]
minutus,
tenuis,
gladius,
torda,[2069]
petrosus,
interpres,
flammeus,
marila,[2022]
alpina,
canutus,
hiaticula,
maritima,
diomedea,
grylle,
alexandrinus,[2063]
cyaneus,
hyemalis,[2090]
eleonorae,
arctica,
glacialis,
nilotica,
ostralegus,
albicilla,
pelagicus,
argentatus,[2045]
smithsonianus,[2082]
atricilla,[2036]
audouinii,
canus,
fuscus,[2033]
hyperboreus,
melanocephalus,[1983]
ridibundus,
lapponica,
limosa,[2023]
fusca,[2054]
nigra,
bassanus,[2052]
eburnea,[2030]
aristotelis,[2044]
neglectus,[2076]
fulicarius,
stelleri,[2043]
mauretanicus,
puffinus,
yelkouan,
avosetta,
tridactyla,[2029]
mollissima,[2059]
demersus,[2042]
parasiticus,[2038]
caspia,
dougallii,[2028]
paradisaea,
sandvicensis,
tadorna,[2040]
aalge,
lomvia,
nasus,[2042]
ocellata,
acanthias,
pusillus,[2066]
acutorostrata,
musculus,[2027]
physalus,
leucas,
melas,[2013]
grypus,[1971]
ampullatus,[2009]
novaeangliae,[1975]
orca,
groenlandicus,[2084]
phocoena,
catodon,[2054]
crassidens,
caretta,
mydas,
coriacea,
imbricata,
kempii,[2033]
olivacea,[2027]
fimbria,
stomias,[2038]
mordax,[2041]
ringens,[2027]
macrocephalus,
elassodon,
stenolepis,
bilineata,
limanda,
proboscidea,
sakhalinensis,
gayi,
productus,
auratus,[2036]
vetulus,
monopterygius,
quadrituberculatus,[2037]
chalcogrammus,[2045]
wheeleri,[2025]
japonicus,[2000]
alutus,[2035]
entomelas,[2024]
alascanus,
pacificus,[2010]
albacares,[2032]
murphyi,
columba,
monocerata,
albatrus,[2036]
immutabilis,[2031]
irrorata,[2068]
cirrhata,
glaucescens,
occidentalis,[2057]
furcatus,
homochroa,
leucorhous,[2040]
melania,
penicillatus,
aleuticus,
brevirostris,
humboldti,
mendiculus,[2032]
antillarum,
elegans,
forsteri,
hypoleucus,[2034]
alalunga,[2037]
maccoyii,[2036]
philippii,[1971]
townsendi,
mysticetus,[2044]
edeni,[2046]
ursinus,[2045]
dugon,[2029]
lutris,
robustus,
schauinslandi,[2037]
rosmarus,
vitulina,
hookeri,[2042]
sinus,[2026]
attenuata,[2053]
longirostris,
maritimus,
californianus,[2034]
nehereus,
chalumnae,[2031]
abbotti,[2080]
