Species,Extinction_Year
annularis,
ecaudatus,
drouhardi,
fotsifotsy,
longicaudata,[2033]
talazaci,
cancrivorus,[2035]
uropygialis,
gutturalis,[2022]
cucullata,
graculina,[2056]
atriceps,
longicaudatus,
spinatus,[2034]
pseudocrinitus,[2037]
thula,[2025]
galerita,[2036]
lucifuga,
demerarae,
montensis,
russatus,
angouya,
semipalmatus,
lamberti,
bichenovii,[2005]
sila,
splendens,
getula,[2014]
reguloides,[2011]
sanguinolenta,[1997]
californiense,[2024]
reidi,[2022]
curema,
nereis,[2026]
abacura,[2028]
soporator,[2022]
barbatulus,[2024]
nuchipinnis,[2023]
erytrogramma,[2000]
pilicornis,[2023]
floridana,[2001]
pygaea,[2030]
flavigularis,[2027]
melanoleucos,[2024]
levipes,[2027]
melanophrys,[2021]
scalaris,
wilsonia,
cocoi,[2025]
caerulea,[2047]
ajaja,[2028]
sanguinolentus,
armillata,[2024]
palliatus,
maculipennis,
hirundinacea,[2022]
trudeaui,[2016]
striatulus,
spixii,[2025]
genidens,[2024]
luniscutis,[2028]
bitorquata,[2030]
kubaryi,[2002]
macrocercus,[2003]
xanthonurus,[1989]
rubratra,[1991]
cinnamominus,[1993]
owstoni,[1988]
opaca,[1992]
andreae,[2026]
dapsilis,[1992]
tadornoides,[1975]
harrisii,[2008]
gracilis,[2010]
diabolis,
stansburiana,[2047]
hardwickii,[2017]
plumifera,
moluccus,[1993]
spilorrhoa,
bulleri,[2043]
rubricauda,[2035]
venustus,[2035]
sylvestris,[2030]
lathami,[2046]
banksii,[2044]
swainsonii,
mallee,[2038]
alai,[2030]
media,[2068]
oreas,[2024]
hypoxanthus,
jacutinga,[2032]
obscura,
anchoita,
henslowii,[1982]
asinus,[2023]
albida,[2022]
aequoreus,[2092]
coeruleoalba,[2085]
obliquidens,[2013]
macrorhynchus,[2036]
cavirostris,[2028]
aestivalis,[1996]
mediocris,[2003]
cepedianum,[2033]
petenense,[2007]
regia,[2002]
remora,[1996]
aquosus,
heteroclitus,[2033]
schoepfii,[2003]
diaphana,[2003]
unifasciatus,[2007]
caninus,
crumenophthalmus,[2007]
vomer,[1996]
microstomus,
macarellus,[2002]
saurus,[2007]
chrysoura,[2002]
xanthurus,[2003]
regalis,[1996]
undulatus,[1996]
onitis,[2007]
saira,[2031]
maruadsi,
vellerosus,[2045]
arachnoides,
pennantii,[2037]
cataphractus,
mirabilis,
vachellii,[2024]
signifer,[2004]
oyena,[2004]
gerreoides,[2004]
menidia,[1981]
patoca,[2025]
albella,[2004]
subviridis,[2021]
viridipunctatus,
equula,
sihama,
filamentosus,
compressa,[1995]
biocellatus,
endrachtensis,
arsius,
stercusmuscarum,[1995]
sarba,[2021]
rivulatus,
botla,
microps,[2025]
arenarius,[2024]
beryllina,
catus,[2007]
traskii,
machnata,[2031]
rostellatus,
sexfasciatus,[1996]
macrolepis,[1996]
mossambicus,[2012]
jarbua,[1996]
cunnesius,[1996]
felis,[2032]
breviceps,
aestuaria,[2027]
callidus,[2013]
knysnaensis,[2003]
nasuta,
watermeyeri,[2009]
senegalensis,[2006]
calcarifer,
fischeri,[2035]
sabini,
melanostomus,
umbratus,[1997]
cervinus,[1997]
annulatus,[1997]
vitrirostris,[1997]
buchanani,
salpa,[1997]
chanos,[1997]
marmorata,[1997]
fuscomaculata,[1982]
aeneum,[1982]
microstoma,[2014]
stagnatilis,[2028]
sclateri,[2029]
didactylus,[2023]
labrax,
lascaris,
putnami,
itajara,[1984]
thaleichthys,[2007]
ramada,[2049]
fallax,
nebulosus,[2022]
argentinensis,[2043]
platana,[2005]
arcuata,
shufeldti,[2021]
liza,
folletti,[2023]
pectinata,
gaimardianus,
grossidens,[2022]
orbignyanus,
eigenmanniorum,[2025]
nigribarbis,[2005]
lepidota,
marinii,
lefroyi,
littoralis,[2027]
canosai,
spilopterus,[2028]
oceanicus,
darwinii,[2026]
spatula,[1971]
ambassis,[2021]
methueni,
mossambica,
giuris,[2028]
alata,[2024]
seheli,[2000]
thorpei,[2000]
asper,[1992]
flavimanus,[1991]
transpacificus,[2038]
armatus,[2022]
hexapterus,
pretiosus,[2064]
cirrhosus,[1977]
sagitta,
proximus,[1977]
laeta,
trichodon,[1977]
decagrammus,[1977]
fabricii,[1977]
octogrammus,[2062]
lagocephalus,[1977]
syriacus,
cia,[2033]
theklae,
hispanica,
petronia,[2032]
pyrrhocorax,
nisoria,
adamsii,[2032]
bathybius,
achne,
meinertzhageni,[2006]
leche,
entellus,[2025]
cinereiceps,
ireneae,
chrysolophus,
antarcticus,
moseleyi,
rubroviolaceus,[2023]
ghobban,[2025]
longiceps,[2026]
microrhinos,[2026]
muricatum,[2023]
assamensis,[2023]
mulatta,
muntjak,
sumatraensis,
alani,
whitakeri,
suteri,
austriaca,
aspis,[2076]
viridiflavus,[2024]
antiguae,
ursinii,
gabonica,[2049]
nasicornis,[2021]
regius,
jamesoni,[2035]
scutatus,
scutellatus,
berus,[2031]
marmota,[2032]
leucogeranus,
bacchus,
oscitans,
rhinoceros,[2033]
vigil,[2028]
corrugatus,[2025]
comatus,
bubo,
antigone,
macrolopha,
leucomelanos,
impejanus,
nebulosa,
silvestris,[2033]
ararauna,
mycteria,[2024]
cayanus,
chamek,
boliviensis,
hydrochaeris,
delicatissima,[2030]
dieffenbachii,
grayii,[2028]
javanicus,
javanica,[2026]
poecilorhyncha,
baeri,[2022]
chirurgus,[2030]
benghalensis,
solitaria,[2023]
aurantia,[2032]
stenura,[2034]
blacodes,
mocinno,[2032]
virginicus,[2028]
crysos,
bonaci,
chrysurus,
trispinosus,
amplum,
axillare,
fenestratus,
stepheni,[2034]
morio,[2118]
hyugaensis,
hippurus,
steindachneri,
flavobrunneum,
serpens,
gryphus,[2028]
caraya,[2056]
multimaculatus,[2023]
etheridgei,
chacoensis,[2040]
teyou,[2039]
ocellifera,[2032]
poecilogyrus,
itambere,
glossodonta,[2028]
gibbus,[2043]
degus,
jocu,
galapagensis,
geoffrensis,[2025]
fernandensis,[2030]
fernandezianus,[2032]
sephaniodes,[2053]
falcklandii,[2029]
hyaena,
rhina,
antimena,[2029]
paniscus,
eldii,[2030]
saundersi,
richardsoni,[2065]
macropterus,
crassicaudus,[2028]
kingii,
indica,[2053]
leptaspis,[2041]
argyropleuron,
mastersi,
proxima,
cautus,[2029]
tetradactylum,
erythrourus,[2030]
speciosus,[2026]
far,
vaigiensis,
acutidens,
erebi,[2033]
macrochir,[2070]
kaakan,
argus,[2022]
commersonnianus,[2032]
tala,
semifasciatus,[2023]
multifasciata,
leiura,
chatareus,[2028]
brunnea,
serval,
thibetanus,[2086]
uncia,[2033]
adustus,[2035]
norfolcensis,[2026]
mahsena,
grandoculis,[2044]
miniata,[2047]
hemistiktos,
tauvina,
louti,
solitarius,[2075]
schomburgkii,[2048]
leonhardii,[2034]
stenodactylum,[2056]
macki,[2027]
russelli,
harrissoni,[2018]
uyato,[1993]
leopardus,
fulviflamma,
ciliatus,
atkinsoni,
graphicus,
melapterus,
schlegeli,
sordidus,
blochii,
apogonoides,[2010]
acares,
margaritifer,
vanderbilti,[2027]
tapeinosoma,[2021]
whitleyi,[2024]
bartlettorum,[2023]
amblycephalum,
loriculus,[2039]
dickii,
johnstonianus,[2059]
oxycephalus,[2023]
brevis,[2022]
arcatus,
berndti,
cavalla,[2033]
gavia,
heteroloba,
semifasciata,
anea,
chacunda,
tropicalis,
cahow,
laysanensis,
heinsohni,[2037]
commerson,[2033]
puniceus,[2035]
sabaeus,
uvaeensis,[2027]
luscinius,
marchei,
melpoda,[1986]
antillensis,[2022]
brittoni,[2023]
richmondi,[2021]
wightmanae,[2033]
albilabris,[2023]
coeruleus,
bahianus,[2040]
deiroleucus,
ciliaris,
arcuatus,[2044]
paru,
sciurus,
aurolineatum,[2052]
capistratus,
oculatus,[2094]
vivanus,[2032]
buccanella,
apodus,[2052]
plumierii,
vetula,
trigonus,[2024]
iseri,[2039]
planifrons,[2039]
bifasciatum,
multilineata,
fuscoguttatus,
polyphekadion,
bivittatus,
triangulatus,[2034]
taeniopterus,
flavolineatum,[2034]
chlorurus,[2041]
jacobus,[2010]
chrysopterum,[2054]
viride,[2040]
partitus,
glaucofraenum,[2039]
macropus,[2040]
leucostictus,[2038]
variabilis,[2042]
vlamingii,
megalopterus,
pixi,[1999]
brachydactylus,
carponotatus,[2040]
multifasciatus,[1999]
cyanostigma,
lithophilus,[1999]
edwardsii,
africanum,[2030]
pantherinum,
sebastoides,[2029]
inornata,
nufar,[1999]
laticeps,[2032]
nasutus,
hottentotus,
curvidens,
mormyrus,[2022]
grande,
durbanensis,[2026]
emarginatum,[2025]
honckenii,[2012]
linsang,[2034]
derbyanus,
binturong,
larvata,
gymnura,[2001]
napu,[2036]
nemestrina,[2025]
gallus,[2110]
sumatrensis,[2016]
trivirgata,[2025]
malayanus,[2024]
flavigula,
hectori,
tetricus,[2045]
malaris,[2032]
hauxwelli,
poecilinotus,
myotherinus,[1999]
axillaris,[2012]
cyanoides,[2047]
cantator,
turdina,[2030]
leucophthalma,
arctidens,
cyanomelas,[2025]
erythrurus,
fucicola,[2034]
montana,[2012]
vittiger,[2002]
caudimaculatus,
aethiops,[2027]
stictolaemus,[2038]
multiradiata,
nicthemerus,
colma,[2028]
nigromaculata,[2026]
laticlavius,[2027]
rubicundus,[2024]
rubescens,[2027]
balteatus,
celidotus,
colias,
scaber,
alfredi,
aurofrenatum,[2026]
martinicus,
cruentata,
barracuda,[2026]
apraefrontalis,[2011]
constrictor,
foliosquama,[2011]
coggeri,[2011]
laevis,[2011]
polychroma,
pinguicolla,[2012]
dione,[2033]
tigrinus,
catenifer,[2016]
nasicus,
atrox,[2001]
flagellum,[2012]
marcianus,[2012]
dissecta,[2019]
rugosa,[2046]
pricei,[2032]
couperi,
flavimaculata,
maura,[2012]
gibbonsi,
polyphemus,[2043]
lecontei,[2049]
planiceps,[2000]
graeca,
haemastica,
porphyriticus,[2032]
virgata,[2009]
ptilocnemis,[2030]
glaucoides,[2028]
skua,[2037]
mauri,[2023]
scolopaceus,
minutilla,
amoenus,
truei,[2032]
pennsylvanicus,[2024]
monticolus,
alle,[1979]
aurora,[2005]
colliei,[2022]
douglasii,[2023]
odoratus,
sipedon,[2033]
alosoides,
dekayi,[2028]
catostomus,[2030]
bidens,[1991]
williamsoni,
omiscomaycus,[2022]
nuttallii,[2036]
maculosus,[2023]
leucichthys,[2022]
senta,[2021]
pennanti,
octodecemspinosus,[2025]
denticulatus,
princeps,
nigrum,[2011]
caprodes,[2022]
calva,[2029]
osseus,
anisurum,[2002]
macrolepidotum,[2002]
valenciennesi,[2021]
carinatum,
glutinosa,[2029]
brevispinis,
antiquus,[2038]
suckleyi,
varia,[2046]
acadicus,[2027]
pinniger,[2027]
ruberrimus,[2029]
storeriana,[2012]
babcocki,[2035]
reedi,[2029]
crameri,[2032]
maliger,[2036]
triseriata,
buccinator,[1972]
deglandi,
cunicularia,[2022]
pygerythrus,
vauxi,
erythrorhynchos,[2047]
breweri,
huttoni,[2046]
herodias,
pelagica,
nigrescens,
pensylvanica,[2102]
alnorum,
hammondii,[2030]
oberholseri,
crinitus,[2088]
tridactylus,
limicola,
satrapa,[2056]
phoebe,[2025]
sialis,[2048]
calliope,
stoutii,[2030]
saxatalis,
alexandri,[2036]
bicknelli,[2029]
difficilis,
gnoma,[2058]
lewis,[2038]
undecimalis,[2025]
eleginoides,
kennicottii,
masquinongy,[2033]
noctivagans,[2025]
urophthalmus,
batrachus,[2028]
belizanus,[2007]
sucetta,[2007]
platyrhincus,
nigrofuscus,
kleinii,
plebeius,
rainfordi,
trifascialis,
chameleon,
globiceps,
psittacus,
hortulanus,
bankanensis,
coelestis,[2036]
baronessa,[2023]
aureofasciatus,[2025]
melannotus,[2025]
auriga,
vagabundus,
lepidogenys,
virginiana,
fleayi,[2002]
lunulatus,[2010]
scopas,
schmitti,[2024]
porosissimus,[2031]
guatucupa,[2021]
guggenheim,[2028]
callorynchus,
cepedianus,[2012]
macracanthus,[2030]
venenosa,
interstitialis,[2001]
dabbenena,[2027]
chlororhynchos,
weddellii,
ramsayi,[2005]
niphonius,[2024]
carteri,
bennetti,[1990]
praeorbitalis,
ephippium,
ornatissimus,[2028]
pelewensis,[2031]
reticulatus,[2030]
tomentosus,[2022]
ulietensis,[2030]
multinotatus,[2023]
chrysostomus,[2043]
acronotus,[2022]
tiburo,[2023]
polylepis,[1980]
melanopterus,[2023]
lunula,[2017]
trifasciatus,[2027]
lutjanus,
vitta,
flavipectoralis,
meyeri,[2056]
zanzibarensis,[2054]
polyacanthus,[2041]
guttatissimus,[2068]
curacao,
lineolatus,[2010]
lepidolepis,[2022]
atripectoralis,
ternatensis,
weberi,[2005]
rex,[2023]
rollandi,[2028]
prosopotaenia,[2030]
nigroris,[2032]
azysron,[2025]
bankieri,[2023]
lacrymatus,[2028]
adelus,[2029]
julis,
cabrilla,
brachialis,[2026]
doderleini,
grammorhynchus,
philippinus,[2031]
wardi,
fasciolatus,[2030]
carneus,[2026]
pascalus,
xanthura,
trimaculatus,[2053]
muricatus,
decresiensis,[2023]
flavolineatus,
hexataenia,[2053]
hardwicke,
pavo,
hebraicum,[2028]
barberinus,
tominiensis,[2025]
meleagris,[2037]
bandanensis,
speculum,[2021]
politus,
lunare,
aruanus,
lituratus,
cosmetus,[2031]
dimidiatus,
digramma,[2022]
decussatus,[1996]
bleekeri,
binotatus,
cyanopterus,
adscensionis,
mahogoni,
blainvillei,[2028]
mawsoni,[2017]
moro,[2068]
owstonii,[2039]
johnsonii,[2026]
calcea,[2024]
licha,[2021]
pelamis,[2025]
tonggol,[2062]
hepsetus,[2021]
boops,[2035]
umbra,[2003]
smaris,[2022]
chromis,[2040]
scriba,[2026]
roissali,[2027]
melanocercus,[2003]
mediterraneus,[2005]
maena,[2003]
dentex,[2004]
puntazzo,
melanura,[2024]
helena,
aurata,[2005]
melastomus,[2026]
asterias,[2028]
anthias,[2026]
cretense,[2022]
maderensis,
obtusidens,
granulosus,[2044]
pati,[2033]
jacksoni,[2036]
spilopleura,[2022]
argentea,
interruptus,[2022]
macropomum,[2031]
othonopterus,[2033]
hilarii,
orthonops,[2009]
nematopus,[2021]
siquia,[2022]
strigosus,[2060]
trifasciata,
dorsigera,[2027]
commbrae,
dimerus,
achilles,
sanctaefilomenae,[2028]
notomelas,
anisitsi,
duperrey,[2026]
edentatus,[2043]
labrosus,[1988]
pirinampu,[2036]
zungaro,[2031]
heberi,[2021]
kelee,
lysan,[2028]
sibayi,
virginalis,
limnothrissa,[2029]
paludinosus,[2024]
jactator,[2024]
holocanthus,[2025]
hispidus,
hawaiiensis,
beso,[2023]
hystrix,[2000]
vespertinus,[2031]
acutipennis,
gymnocephalus,
ignobilis,
afrohamiltoni,
reticulata,
aeneofuscus,[2023]
philander,[2029]
spilargyreius,
bifasciatus,
erubescens,[2020]
zebratus,[2023]
stephensi,[2069]
manukanus,[2043]
graciosus,
muralis,[2003]
vivipara,[2025]
anchietae,[2021]
apletophallus,[2019]
praelongus,[1999]
pallidiceps,[2029]
irregularis,[2000]
mairii,[2025]
childreni,[2021]
spilota,
burtonis,
insularis,[2026]
monspessulanus,
filfolensis,[2009]
komodoensis,[2034]
mcallii,[2023]
draconoides,
cerastes,
scripta,
spinifera,
mutica,
dorbigni,
lewyana,[2033]
tectifera,
peninsularis,
gigantea,
latirostris,[2021]
moreletii,
asio,[2017]
gardineri,
murrayi,[2018]
cimbrius,[1972]
berglax,[2022]
promelas,[2024]
margarita,[2024]
binoculata,[2037]
interrupta,
aggregata,[2031]
limi,[2024]
cyprinellus,
notatus,
natalis,
gyrinus,[2021]
sicculus,
flavidus,
proriger,[2006]
accipenserinus,[1990]
stigmaeus,[1985]
decurrens,
melanostictus,[2029]
chihi,[1993]
cerulea,[2045]
decagonus,[2036]
uncinatus,[2012]
chesteri,[2006]
kaupii,[2051]
spinicauda,[2005]
agassizi,[1971]
oblongus,[1978]
chemnitzii,[2004]
lampretaeformis,[2031]
arctifrons,[2030]
albidus,[1971]
macqueenii,[2023]
wollebaeki,
tattersalli,
erithacus,
nudicaudatus,
cavernarum,[2025]
brevirostrum,
vociferoides,[2024]
nichollsi,
molossus,
aperea,[2009]
walie,[2052]
aureola,
seychellensis,
greyii,
boulengeri,[2026]
miliarius,
xanthopus,[2042]
hamiltoni,
muticus,
nippon,[1990]
limbata,[2012]
piau,[2021]
merra,
oligacanthus,[2026]
miodon,[2036]
nigropunctatus,[2022]
canadum,
panayensis,[2031]
goiavier,[2032]
jugularis,[2037]
mystacea,
gastrophysus,[2023]
sutorius,[2030]
trucha,[2031]
punctulata,[2030]
hatcheri,[2015]
tiphia,[2030]
clupeola,[2028]
iheringi,[2041]
rouloul,
malacensis,[2029]
cruentatum,[2031]
smyrnensis,[2038]
grammicus,
turdinus,[2021]
martii,
lawrencii,
tucanus,
vitellinus,
mamorae,
pachyurus,[2023]
panoptes,[2010]
mitchelli,[2016]
mertensi,[2022]
gilberti,[2027]
punctulatus,[2026]
apella,
anthracinus,
gouazoubira,
nitidus,
spadiceus,[2027]
belzebuth,
sadleri,[2022]
paraguayanus,[2001]
incanus,
moloch,[2025]
cumanensis,[2026]
tuberosum,
jacquacu,[2033]
oleagineus,[2027]
hemileucurus,
torqueola,
grayi,[2025]
curvipennis,[2028]
vermivorum,
citrina,[2021]
fuscicauda,[2025]
candida,[2031]
infaustus,[2071]
grahami,[2034]
lineatopus,[2039]
altiloquus,[2025]
igniventris,[2025]
barbara,
salvini,[2023]
pratti,
moschiferus,[2026]
cascadae,[2029]
trowbridgii,
trinotatus,
orarius,
bendirri,[2006]
fuscipes,[2021]
senex,
beecheyi,
sagrei,
glis,[2021]
chaus,[2028]
hermaphroditus,
jerdoni,
vitticollis,
smithii,
edwardsi,
cypriaca,[2038]
melanothorax,[2022]
tetrax,[2022]
variegatoides,
avellanarius,[2021]
keeni,[2022]
serpentarius,
semitorquatus,[2025]
bellicosus,[2054]
rupicoloides,
rapax,
nipalensis,[1996]
colletti,[2018]
bilineatus,
arquatrix,[2031]
gliroides,
subcylindricus,[2031]
austriacus,[2048]
cricetus,[1995]
myotis,
gaimardi,[2051]
indistincta,[2021]
coronoides,
apicalis,[2027]
aleutianus,
mystinus,[2029]
engrauliformis,[2046]
fuegensis,
australasicus,
telescopus,
chamaeleonticeps,
eglanteria,[2028]
garmani,[2041]
antarctica,
solandri,
giganteum,
chlorostictus,
diploproa,
orientalis,[2022]
tumifrons,[2060]
paradoxus,[1985]
gerrardi,
conatus,
flindersi,
niveatus,
aurorubens,[1971]
levis,[2040]
carnatus,[2028]
sadina,[2077]
trecae,[2026]
rhonchus,[2023]
decadactylus,[2030]
bellottii,[2027]
polli,[2026]
macrophthalmus,
harmonica,
pulcherrimus,
australasica,
kandianus,
noctua,[2022]
coturnix,[2025]
krameri,
graculus,[2021]
melba,[2027]
ranoides,[2025]
ovalis,[2025]
biporcatus,
angolensis,
gordonorum,
arenarum,
longipes,[2024]
keyserlingii,
albibarbis,
birostris,
pumilio,
pictiventris,[2052]
talamancae,[1984]
gorilla,
macrorhina,[2023]
peruvianus,[2026]
latinasus,[2021]
bransfordii,
discoidalis,
biligonigerus,[2031]
mobular,[2022]
paucus,[2003]
feioi,[2023]
mantiqueira,[2025]
bowringii,
rubidus,
henseli,[2022]
icterica,[2021]
araucaria,
henselii,[2025]
plaumanni,
mystacinus,
devincenzii,
bigibbosa,[2025]
albiventris,[2018]
gymnocercus,[2020]
bartschi,
dahlii,[2000]
nivosus,
mearnsi,
subcristatus,
subterraneus,[2018]
auropalliata,
spilogaster,
badius,
metabates,
gabar,
ranivorus,
dickinsoni,
wahlbergi,
signatus,
motoro,
cruciger,
eatonii,[2022]
irrasa,[1998]
barbus,
albomaculata,[2082]
griseocauda,[2049]
brachyurops,[2026]
razae,[2026]
kessleri,[2018]
semilunaris,[2015]
vulsa,[2023]
jeffersonianum,[2034]
brunneus,[2019]
nigripinnis,[2016]
pentacanthus,[2023]
euryops,[2038]
abyssicola,[2023]
aleutica,[2022]
minispinosa,[2024]
trachura,[2010]
brunneum,[2030]
marjorius,
furcellus,
melanurus,
ranula,[2021]
reinhardti,[1989]
cyprinus,[2028]
macouni,[2024]
sloani,
pugetensis,
zenithicus,
aleutensis,[2029]
setiger,[2016]
theta,[2010]
tridentatus,
deani,
praecisus,[1989]
diaphanus,[2009]
tricuspis,[1991]
atlanticum,[1986]
scorpioides,[2004]
subbifurcata,[2019]
ensis,[2030]
raleighana,
tunicatus,[1980]
verrillii,[2028]
lavalaei,[2045]
vahlii,[2022]
atlantica,[2043]
tomcod,[2023]
coregonoides,[1993]
gunnellus,[2037]
rissoanus,[2025]
lowei,
fyllae,
beanii,[2119]
parasitica,[2058]
boa,[2031]
conchifer,[2032]
surifer,[2022]
baeodon,
zeteki,[2042]
muelleri,[2022]
smithi,[1990]
tana,[2024]
unguidentis,[2012]
sabanus,[2022]
multidentatus,[1987]
cremoriventer,[2022]
pennatulus,[1988]
goebeli,[2011]
lincolni,[2044]
bromeliacius,[2046]
brunnata,[2011]
bicirrhosum,[2022]
gundlachi,[2026]
stratulus,
krugi,
yniphora,[2032]
emarginatus,[2053]
dasycneme,
russula,
citellus,
catenatus,
rosea,[2023]
wheatlandi,[2029]
hemilepidotus,[2024]
burchami,
aenigmaticus,[2018]
schmidti,[2022]
crotalinus,
mandibularis,
cortezianus,[2023]
diapterus,[2033]
palearis,
zonurus,
aenaeus,[2025]
coenosus,[2024]
rothrocki,[2017]
crassiceps,
milleri,[2016]
phrictus,[2024]
asprellus,[2030]
vacca,
abei,
emphaeus,[2023]
helvomaculatus,[2022]
miniatus,[2024]
nigrocinctus,
saxicola,[2012]
zacentrus,[2022]
setapinnis,[2023]
leucopsarus,
nannochir,
bifurcata,[2030]
nobiliana,[2022]
symmetricus,[2032]
macellus,
pingelii,
latifrons,
leiops,[2018]
lusitanica,[2040]
capaccinii,
tavasensis,[2053]
arborella,[2022]
idella,[2026]
sericeus,[1992]
aula,[2002]
laietanus,[2003]
prespensis,
galganoi,[1994]
boscai,[2005]
waltl,[2005]
arrigonis,[2025]
belvica,[2027]
basak,
haasi,[2024]
schreibersii,[2026]
escalerai,[2002]
euryale,[2055]
mehelyi,[2024]
carnifex,
alosa,[1990]
miraletus,
circularis,[1995]
nidarosiensis,[2012]
coelolepis,[2033]
oreganus,
bellus,[2022]
hallucatus,[2021]
pirata,[2012]
bilarni,
bindi,[2012]
virginiae,[2012]
macrourus,[2023]
dahli,
lakedownensis,[2005]
burtoni,
gouldii,[2012]
calabyi,[2012]
delicatulus,[2012]
nanus,[2025]
tunneyi,[2022]
argurus,[2025]
maini,[2027]
repressa,[2025]
ardeola,
wumizusume,[2027]
boyciana,[2038]
balaenarum,[2021]
narinari,[2095]
meyeni,
melampygus,
dermatolepis,
olfax,
rivoliana,[2047]
amblyrhynchos,
latiscutatus,[2032]
ferrugineus,[2119]
albimarginatus,[2012]
butcheri,[2036]
rubripinne,
coelestinus,
chrysargyreum,[2054]
carbonarium,[2043]
jenynsii,
sexlineatus,
caudavittata,
lymma,
woodi,[2016]
dewaali,[2023]
turbynei,[2023]
chagresi,[2019]
panamensis,[2020]
dormitor,[2020]
gillii,
monoculus,[2026]
immaculatus,[2021]
sierrae,[2029]
arafurae,
caballus,[2023]
planipaleae,[2028]
bicanthalis,
altipinnis,[2022]
mazara,[2029]
kasmira,[2022]
vanicolensis,[2020]
cyclostomus,[2023]
porphyreus,[2020]
perspicillatus,[2021]
gabriellae,[2026]
stipes,[2002]
clarkii,
radians,
coniferus,
haematiticus,[2022]
euknemos,[2011]
crassidigitus,[2022]
fitzingeri,
thymallus,[2021]
hucho,
remadeviae,[2014]
khudree,[2026]
coruscans,[2024]
argyrogrammicus,[2023]
sieboldii,
cisalpinus,
rileyi,[2030]
burdigalensis,
slateri,
bicantus,[2010]
petersi,[2016]
eriphus,[2037]
inusitatus,
olivaris,[2028]
insidiator,
tractus,[2027]
garnoti,[2023]
radiatus,
volitans,[2016]
parra,
atomarium,[2022]
album,[2047]
xanthopterus,[2021]
woodwardi,[2008]
boenak,[2021]
fumea,[2014]
notata,[2001]
melanochir,
campbelli,
strigatus,[2007]
cyanomos,
cookii,[2009]
doederleini,[2021]
fleurieu,[2014]
holotaenia,[2033]
poecilepterus,[2022]
quadrilineatus,[2006]
sieboldi,[2001]
vosmeri,
terina,
tragula,[2021]
evides,
heteroptera,[2010]
altus,[2024]
schlegelii,[2004]
trilineatum,[2020]
leptolepis,[2014]
flavicauda,[2016]
dorsomacula,
oualensis,[2020]
eoethinus,[2007]
lemur,[2011]
colonnea,[2022]
schizodactyla,[2034]
panamansis,[2012]
gollmeri,[2029]
megacephalus,[2011]
punctariolus,[2011]
quidditus,
prosoblepon,[2058]
colymbiphyllum,[2027]
colymba,[2022]
palmeri,[2031]
warszewitschii,[2011]
parvipes,[2011]
vicentei,[2004]
cerasinus,[2027]
cruentus,[2029]
gaigei,[2011]
museosus,
ridens,[2011]
ilex,
flotator,[2029]
phaeota,
bufoniformis,[2011]
specus,
japonica,
albipinnatus,[2017]
amarus,[2022]
zingel,[2009]
baloni,[2025]
sophore,
elongatoides,[2032]
pancalus,[2024]
schenga,[2032]
perniger,
banana,[2017]
ambigua,
heckelii,
falcirostris,
inermis,
crassipinnis,[2029]
peelii,
vimba,[2024]
amazonicus,
chalcoides,[2022]
borysthenicus,[2026]
severus,[2024]
unitaeniatus,
littorale,
percoides,
festivus,
aureum,
duriventre,
castelnaeana,[2040]
brachypomus,
altamazonica,
mogurnda,[2022]
aprion,[2017]
latior,
amazonica,
rutiloides,
taeniurus,[2005]
altispinis,
rhombeus,
semoni,[2011]
angulatus,
urvillii,[2021]
dauricus,
schrenckii,
bipunctatus,
corporalis,
phoxinus,[2040]
hamiltonii,[1998]
multiradiatus,[2014]
mattozi,[1987]
thompsonii,[2021]
tamarensis,[2022]
alabamae,[2025]
olorum,[2021]
lasti,[2011]
bifrenatus,[2021]
grandiceps,[2011]
congoro,[2021]
tapirina,[2008]
persicus,[2027]
edentulus,[1981]
foetens,
scitulus,[1987]
gula,
plumieri,[1981]
ronchus,
lanceolatus,
testudineus,[2076]
schall,[1988]
maurus,[1988]
forskahlii,
bovei,
baremoze,[2039]
macleayi,
berneyi,[2023]
stramineus,[2031]
lineolata,[2030]
nurse,[2029]
selheimi,[2033]
ussheri,
scratchleyi,
ocellifer,[2024]
sorex,[2025]
graeffei,[2001]
midgleyorum,[2025]
rosae,[2032]
splendida,
hyrtlii,[2024]
ogilbyi,[2028]
miops,[2034]
reinhardtii,[2025]
sclerolepis,[2027]
acritosus,[2028]
gyrinoides,[2027]
butis,[2001]
melanosoma,[2022]
margaritaceus,[2022]
tulliensis,[2026]
heptagonus,
robusta,[2032]
gutturale,
bikolanus,[2028]
chrysosoma,
jaculatrix,
agrammus,
bicirrhosus,
castelnaui,
marginata,
tandanus,[2022]
cinctus,
coromandelianus,[2027]
lugubris,
redimitus,[2034]
jeannoeli,[2021]
grandis,[2083]
notosticta,[2036]
angolafa,
karenae,[2021]
rufioculis,[2023]
biporus,
betsileanus,
bottae,[2020]
roseipalmatus,[2023]
barbouri,[2024]
tuberifera,[2021]
betampona,
albipunctatus,[2026]
moseri,
popi,[2029]
marojezensis,[2023]
boulengerii,[2027]
melanopleura,[2021]
grandisonae,
luteus,[2021]
pyrrhus,
liber,
desotoi,
corruscans,
bidyanus,[2021]
auroguttatus,[2040]
fur,[2040]
carapo,
platorynchus,
adspersa,
marjoriae,[2026]
galii,
klunzingeri,
novemaculeatus,[2049]
duboulayi,
macrostomus,
petardi,[2021]
oxleyana,
mellis,[2022]
foina,
genetta,[2029]
bechsteinii,
barbastellus,[2026]
